name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
Apple nutrition facts,48/200,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0,38,4,0.019,0.028,0.091,0.071,0.037,0.05
Apricot nutrition facts,48/201,86.4,1.4,0.39,11.12,2,9.24,13,0.39,10,23,259,1,1926,10,0.03,0.04,0.6,0.24,0.054,0.89
"Artichokes, cooked",53/220,84.08,2.89,0.34,11.95,8.6,0.99,21,0.61,42,73,286,60,13,7.4,0.05,0.089,1.11,0.24,0.081,0.19
"Asparagus, cooked",22/94,92.63,2.4,0.22,4.11,2,1.3,23,0.91,14,54,224,14,1006,7.7,0.162,0.139,1.084,0.225,0.079,1.5
Avocado nutrition,160/670,73.23,2,14.7,8.53,6.7,0.66,12,0.55,29,52,485,7,146,10,0.067,0.13,1.738,1.389,0.257,2.07
Banana nutrition facts,89/371,74.91,1.09,0.33,22.84,2.6,12.23,5,0.26,27,22,358,1,64,8.7,0.031,0.073,0.665,0.334,0.367,0.1
"Beet greens, cooked",27/115,89.13,2.57,0.2,5.46,2.9,0.6,114,1.9,68,41,909,241,7654,24.9,0.117,0.289,0.499,0.329,0.132,1.81
"Beet greens, raw",22/92,91.2,2.2,0.13,3.7,4.33,0.5,117,2.57,70,41,762,226,6326,30,0.1,0.22,0.4,0.25,0.106,1.5
"Beetroots or beets, cooked",44/184,87.06,1.68,0.18,9.96,2,7.96,16,0.79,23,38,305,77,35,3.6,0.027,0.04,0.331,0.145,0.067,0.04
"Beetroots or beets, raw",43/180,87.58,1.61,0.71,9.56,2.8,6.76,16,0.8,23,40,325,78,33,4.9,0.031,0.04,0.334,0.155,0.067,0.04
Blackberries nutrition,43/181,88.15,1.39,0.49,9.61,5.3,4.88,29,0.62,20,22,162,1,214,21,0.02,0.026,0.646,0.276,0.03,1.17
Blueberry nutrition facts,57/240,84.21,0.74,0.33,14.49,2.4,9.96,6,0.28,6,12,77,1,54,9.7,0.037,0.041,0.418,0.124,0.052,0.57
"Broadbeans, cooked",100/460,71.54,7.6,0.4,19.65,5.4,1.82,36,1.5,43,125,268,5,15,0.3,0.097,0.089,0.711,0.157,0.072,0.02
